link,gender,type,images,idx
https://kr.puma.com/classics-shorts-10-7.html,M,BOTTOM,http://d8wtay8lm19fy.cloudfront.net/puma_product/420x/5/9/596264_03_01_KOR.jpg,376
https://kr.puma.com/hemp-shorts-8.html,M,BOTTOM,http://d8wtay8lm19fy.cloudfront.net/puma_product/420x/5/9/596618_01_01_KOR.jpg,377
https://kr.puma.com/jackpot-short.html,M,BOTTOM,http://d8wtay8lm19fy.cloudfront.net/puma_product/420x/5/7/578182_01_01_KOR.jpg,378
https://kr.puma.com/jackpot-short-12.html,M,BOTTOM,http://d8wtay8lm19fy.cloudfront.net/puma_product/420x/5/7/578182_02_01_KOR.jpg,379
https://kr.puma.com/mapm-sweat-shorts.html,M,BOTTOM,http://d8wtay8lm19fy.cloudfront.net/puma_product/420x/5/9/596174_01_01_KOR.jpg,380
https://kr.puma.com/active-woven-3-4-pants.html,M,BOTTOM,http://d8wtay8lm19fy.cloudfront.net/puma_product/420x/8/5/852715_01_01_KOR.jpg,381
https://kr.puma.com/sf-sweat-shorts.html,M,BOTTOM,http://d8wtay8lm19fy.cloudfront.net/puma_product/420x/5/9/596147_02_01_KOR.jpg,382
https://kr.puma.com/puma-by-x-bionicr-twyce-run-shorts-men.html,M,BOTTOM,http://d8wtay8lm19fy.cloudfront.net/puma_product/420x/5/2/520075_01_01_KOR.jpg,383
https://kr.puma.com/runner-id-7-short.html,M,BOTTOM,http://d8wtay8lm19fy.cloudfront.net/puma_product/420x/5/1/518955_01_01_KOR.jpg,384
https://kr.puma.com/ftblnxt-shorts-56.html,M,BOTTOM,http://d8wtay8lm19fy.cloudfront.net/puma_product/420x/6/5/656520_04_01_KOR.jpg,385
https://kr.puma.com/ftblnxt-pro-shorts-31.html,M,BOTTOM,http://d8wtay8lm19fy.cloudfront.net/puma_product/420x/6/5/656522_04_01_KOR.jpg,386
https://kr.puma.com/last-lap-2in1-7-short.html,M,BOTTOM,http://d8wtay8lm19fy.cloudfront.net/puma_product/420x/5/1/518952_01_01_KOR.jpg,387
https://kr.puma.com/ignite-session-5-short.html,M,BOTTOM,http://d8wtay8lm19fy.cloudfront.net/puma_product/420x/5/1/518960_01_01_KOR.jpg,388
https://kr.puma.com/ignite-session-7-short.html,M,BOTTOM,http://d8wtay8lm19fy.cloudfront.net/puma_product/420x/5/1/518961_01_01_KOR.jpg,389
https://kr.puma.com/mcfc-shorts-replica-8.html,M,BOTTOM,http://d8wtay8lm19fy.cloudfront.net/puma_product/420x/7/5/755607_08_01_KOR.jpg,390
https://kr.puma.com/getfast-vizshort.html,M,BOTTOM,http://d8wtay8lm19fy.cloudfront.net/puma_product/420x/5/1/518429_02_01_KOR.jpg,391
https://kr.puma.com/collective-graphic-short.html,M,BOTTOM,http://d8wtay8lm19fy.cloudfront.net/puma_product/420x/5/1/518396_01_01_KOR.jpg,392
https://kr.puma.com/collective-graphic-short-7.html,M,BOTTOM,http://d8wtay8lm19fy.cloudfront.net/puma_product/420x/5/1/518396_02_01_KOR.jpg,393
https://kr.puma.com/puma-woven-short.html,M,BOTTOM,http://d8wtay8lm19fy.cloudfront.net/puma_product/420x/5/1/518387_01_01_KOR.jpg,394
https://kr.puma.com/ignite-blocked-7-short.html,M,BOTTOM,http://d8wtay8lm19fy.cloudfront.net/puma_product/420x/5/1/517273_13_01_KOR.jpg,395
https://kr.puma.com/puma-x-ctm-aop-t7-spezial-shorts.html,M,BOTTOM,http://d8wtay8lm19fy.cloudfront.net/puma_product/420x/5/9/595628_01_01_KOR.jpg,396
https://kr.puma.com/bvb-shorts-replica-8.html,M,BOTTOM,http://d8wtay8lm19fy.cloudfront.net/puma_product/420x/7/5/755756_02_01_KOR.jpg,397
https://kr.puma.com/ftblnxt-shorts-32.html,M,BOTTOM,http://d8wtay8lm19fy.cloudfront.net/puma_product/420x/6/5/656433_01_01_KOR.jpg,398
https://kr.puma.com/ftblnxt-woven-shorts-32.html,M,BOTTOM,http://d8wtay8lm19fy.cloudfront.net/puma_product/420x/6/5/656437_01_01_KOR.jpg,399
https://kr.puma.com/vcf-shorts-replica.html,M,BOTTOM,http://d8wtay8lm19fy.cloudfront.net/puma_product/420x/7/5/756183_03_01_KOR.jpg,400
https://kr.puma.com/mcfc-shorts-replica.html,M,BOTTOM,http://d8wtay8lm19fy.cloudfront.net/puma_product/420x/7/5/755607_02_01_KOR.jpg,401
https://kr.puma.com/nufc-shorts-replica-without-inner-slip.html,M,BOTTOM,http://d8wtay8lm19fy.cloudfront.net/puma_product/420x/7/5/756302_01_01_KOR.jpg,402
https://kr.puma.com/acm-shorts-replica-without-inner-slip.html,M,BOTTOM,http://d8wtay8lm19fy.cloudfront.net/puma_product/420x/7/5/755889_02_01_KOR.jpg,403
https://kr.puma.com/pace-5-short-18.html,M,BOTTOM,http://d8wtay8lm19fy.cloudfront.net/puma_product/420x/5/1/517287_03_01_KOR.jpg,404
https://kr.puma.com/snake-pack-luxtg-wvn-shorts.html,M,BOTTOM,http://d8wtay8lm19fy.cloudfront.net/puma_product/420x/5/7/579909_01_01_KOR.jpg,405
https://kr.puma.com/snake-pack-luxtg-wvn-shorts-1.html,M,BOTTOM,http://d8wtay8lm19fy.cloudfront.net/puma_product/420x/5/7/579909_03_01_KOR.jpg,406
https://kr.puma.com/rebel-shorts-9-tr.html,M,BOTTOM,http://d8wtay8lm19fy.cloudfront.net/puma_product/420x/8/4/844240_01_01_KOR.jpg,407
https://kr.puma.com/rebel-shorts-9-tr-7.html,M,BOTTOM,http://d8wtay8lm19fy.cloudfront.net/puma_product/420x/8/4/844240_03_01_KOR.jpg,408
https://kr.puma.com/classics-light-tr-shorts-8-1.html,M,BOTTOM,http://d8wtay8lm19fy.cloudfront.net/puma_product/420x/5/7/579214_06_01_KOR.jpg,409
https://kr.puma.com/ls-neon-woven-shorts-12.html,M,BOTTOM,http://d8wtay8lm19fy.cloudfront.net/puma_product/420x/9/2/928149_03_01_KOR.jpg,410
https://kr.puma.com/iconic-mcs-shorts-10.html,M,BOTTOM,http://d8wtay8lm19fy.cloudfront.net/puma_product/420x/5/7/578432_01_01_KOR.jpg,411
https://kr.puma.com/puma-x-han-shorts.html,M,BOTTOM,http://d8wtay8lm19fy.cloudfront.net/puma_product/420x/5/7/578556_01_01_KOR.jpg,412
https://kr.puma.com/downtown-shorts-8.html,M,BOTTOM,http://d8wtay8lm19fy.cloudfront.net/puma_product/420x/5/7/579107_01_01_KOR.jpg,413
https://kr.puma.com/a-c-e-knit-11-short-7.html,M,BOTTOM,http://d8wtay8lm19fy.cloudfront.net/puma_product/420x/5/1/517351_01_01_KOR.jpg,414
https://kr.puma.com/fd-ess-woven-shorts-56.html,M,BOTTOM,http://d8wtay8lm19fy.cloudfront.net/puma_product/420x/9/2/928147_02_01_KOR.jpg,415
https://kr.puma.com/fd-ess-woven-shorts-50.html,M,BOTTOM,http://d8wtay8lm19fy.cloudfront.net/puma_product/420x/9/2/928147_01_01_KOR.jpg,416
https://kr.puma.com/rt-tricot-5-shorts.html,M,BOTTOM,http://d8wtay8lm19fy.cloudfront.net/puma_product/420x/9/2/928152_01_01_KOR.jpg,417
https://kr.puma.com/rt-tricot-5-shorts-6.html,M,BOTTOM,http://d8wtay8lm19fy.cloudfront.net/puma_product/420x/9/2/928152_02_01_KOR.jpg,418
https://kr.puma.com/pinstripe-aop-shorts.html,M,BOTTOM,http://d8wtay8lm19fy.cloudfront.net/puma_product/420x/5/7/579872_01_01_KOR.jpg,419
https://kr.puma.com/a-c-e-drirelease-10-short-1.html,M,BOTTOM,http://d8wtay8lm19fy.cloudfront.net/puma_product/420x/5/1/517352_05_01_KOR.jpg,420
