,0,1,2,3,4
0,mpg,http://www.mpgsport.co.kr/product/mpg메쉬-트라이앵글-7부-레깅스mklslbca21black/1124/category/246/display/1/,[MPG]메쉬 트라이앵글 7부 레깅스_MKLSLBCA21(BLACK),"59,000",https://www.mpgsport.co.kr/web/product/big/20200629/aa3c4b52e78c4c66b0b0e43d49ca36e7.jpg
0,mpg,http://www.mpgsport.co.kr/product/mpg소프트-스트링-8부-조거-팬츠mklslbca07charcoal/1123/category/246/display/1/,[MPG]소프트 스트링 8부 조거 팬츠_MKLSLBCA07(CHARCOAL),"89,000",https://www.mpgsport.co.kr/web/product/big/20200626/1b6b2bc6ca00d057590b6568f814aed2.jpg
0,mpg,http://www.mpgsport.co.kr/product/mpg슬림-메쉬-패널-8부-레깅스mklslbca04black/1119/category/246/display/1/,[MPG]슬림 메쉬 패널 8부 레깅스_MKLSLBCA04(BLACK),"79,000",https://www.mpgsport.co.kr/web/product/big/20200629/8a6981f4c736ee89b0cb35fd2f304eeb.jpg
0,mpg,http://www.mpgsport.co.kr/product/mpg투인원-스커트-7-부레깅스mklslbca03deep-mauve/1118/category/246/display/1/,[MPG]투인원 스커트 7 부레깅스_MKLSLBCA03(DEEP MAUVE),"79,000",https://www.mpgsport.co.kr/web/product/big/20200629/8350a448982a07025a4a760d6ddb2577.jpg
0,mpg,http://www.mpgsport.co.kr/product/mpg투인원-메쉬-플레어-숏-스커트mklslbkr02black/1116/category/246/display/1/,[MPG]투인원 메쉬 플레어 숏 스커트_MKLSLBKR02(BLACK),"59,000",https://www.mpgsport.co.kr/web/product/big/20200629/d2469ea456cd31b3e69a7bd0873ee3df.jpg
0,mpg,http://www.mpgsport.co.kr/product/mpg사이드-핀턱-포인트-3부-팬츠mmlslbsr34black/1115/category/246/display/1/,[MPG]사이드 핀턱 포인트 3부 팬츠_MMLSLBSR34(BLACK),"69,000",https://www.mpgsport.co.kr/web/product/big/20200629/2fa6d845ded2f8346c4a64e4282c7090.jpg
0,mpg,http://www.mpgsport.co.kr/product/mpg투인원-3부-워크아웃-팬츠mklslbsr02black/1114/category/246/display/1/,[MPG]투인원 3부 워크아웃 팬츠_MKLSLBSR02(BLACK),"69,000",https://www.mpgsport.co.kr/web/product/big/20200629/c44f9a40f19bacf50158b9d2ea62f7d2.jpg
0,mpg,http://www.mpgsport.co.kr/product/mpg모달-세미-루즈핏-10부팬츠mklslblp26charcoal/1113/category/246/display/1/,[MPG]모달 세미 루즈핏 10부팬츠_MKLSLBLP26(CHARCOAL),"99,000",https://www.mpgsport.co.kr/web/product/big/20200626/fc2a760e24a7893ced17c7ca2ad0a0a5.jpg
0,mpg,http://www.mpgsport.co.kr/product/mpg투인원-메쉬-플레어-숏-스커트mklslbkr02dusty-rose/1112/category/246/display/1/,[MPG]투인원 메쉬 플레어 숏 스커트_MKLSLBKR02(DUSTY ROSE),"59,000",https://www.mpgsport.co.kr/web/product/big/20200629/b736e5c1ea44c2758f841cb1dfc6dde6.jpg
0,mpg,http://www.mpgsport.co.kr/product/mpg투인원-메쉬-패널-플레어-숏-스커트mklslbkr01black/1111/category/246/display/1/,[MPG]투인원 메쉬 패널 플레어 숏 스커트_MKLSLBKR01(BLACK),"59,000",https://www.mpgsport.co.kr/web/product/big/20200626/ab71539e4195d95c757ea78d07b1208e.jpg
